"","X","year","semi_final","semi_draw_position","final_draw_position","country","artist_name","song_name","language","style","gender","main_singers","final_televote_points","final_jury_points","final_televote_votes","final_jury_votes","final_place","lyrics","youtube_url"
"1",1,2023,"1","1",20,"Norway","Alessandra","Queen of Kings","English","Pop","Female",1,216,52,36,11,5,"Queen of Kings\n\nCombatteremo sempre bensì\nAmore e fede la gente rapì\nIl nostro motto sarà così:\nVeni vidi vici\n\nShe, queen of the kings\nRunning so fast\nBeating the wind\nNothing in this world could stop the spread of her wings\n\nShe, queen of the kings\nBroken her cage\nThrew out the keys\nShe will be the warrior of north and southern seas\n\nGot raven hair as dark as night\nIcy eyes outta sight, outta sight\nHer heart in spite, is warm and bright\nHer smile awakes the northern light\n\nLooking out she calls\nLai-laida-dai-daida\nWho will conquer all?\nAll\n\nHer name is She, queen of the kings\nRunning so fast\nBeating the wind\nNothing in this world could stop the spread of her wings\n\nShe, queen of the kings\nBroken her cage\nThrew out the keys\nShe will be the warrior of north and southern seas\n\nA firestone forged in flames\nWildest card run the game, run the game\nCan't say the same in this world of change\nDon't fear the pain just break the chain\n\nLooking out she calls\nLai-laida-dai-daida\nWho will conquer all?\nAll\n\nHer name is She, queen of the kings\nRunning so fast\nBeating the wind\nNothing in this world could stop the spread of her wings\n\nShe, queen of the kings\nBroken her cage\nThrew out the keys\nShe will be the warrior of north and southern seas\n\nHer name is She, queen of the kings\nRunning so fast\nBeating the wind\nNothing in this world could stop the spread of her wings\n\nShe, queen of the kings\nBroken her cage\nThrew out the keys\nShe will be the warrior of north and southern seаѕ","https://youtube.com/watch?v=vSfffjHjdTk"
"2",3,2023,"1","3",5,"Serbia","Luke Black","Samo mi se spava","Serbian, English","Pop","Male",1,16,14,4,6,24,"Samo mi se spava\n\nBaby watch the world on fire\nIt is all a game to me\nI don't wanna choose my fighter\nWho's taking control of me?\n\nHello?\nSamo mi se spava\nSpavaj\n\nI just wanna sleep forever (s-spavaj)\nLike it better when i dream\nŽelim zauvek da spavam (s-spavaj)\nDok svet gori\nI just wanna close my eyes\nAnd just get it over with\nŽelim zauvek da spavam (s-spavaj)\nDok svet gori\n\nNoć je, beskonačni sati\nNa ramenu djavoli\nŽelim samo večno spati\nTako da ih pobedim\n\nHello?\nGame over\n(spavaj)\n(samo mi se spava)\n\nI just wanna sleep forever (s-spavam)\nLike it better when i dream\nŽelim zauvek da spavam (s-spavam)\nDok svet gori\nI just wanna close my eyes\nAnd just get it over with\nŽelim zauvek da spavam (s-spavaj)\nDok svet gori\n\nWar\nViolence\nRage\nVirus\nSavest spava\nDok svet gori\n\nVoice silenced\nGuns\nRiots\nRazum spava\nDok svet gori\n\nSpavaj\n(samo mi se spava)\n(samo mi se ѕpavа)","https://youtube.com/watch?v=oeIVwYUge8o"
"3",5,2023,"1","5",2,"Portugal","Mimicat","Ai coração","Portuguese","Pop","Female",1,16,43,3,9,23,"Ai Coração\n\nAi Coração\nQue não me deixas em paz\nNão me dás sossego\nNão me deixas capaz\nTenho a cabeça e a garganta num nó\nQue não se desfaz e nem assim tu tens dó\n\nSinto-me\nTonta\nCada dia pior\nJá não sei de coisas que sabia de cor\nAs pulsações subiram quase pra mil\nEstou louca, completamente senil\n\nO peito a arder\nA boca seca eu sei lá\nO que te fazer\nAmor pra mim assim não dá\nPorque parece que nem sou mais eu\n\nAi Coração\nAi Coração\nDiz-me lá se és meu\n\nAs horas passam e o sono não vem\nOuço as corujas e os vizinhos também\nO meu juízo foi-se e por lá ficou\nAlguém me tire deste estado em que estou\nO doutor diz que não há nada a fazer\nCaso perdido vi-o eu a escrever\nAndo perdida numa outra dimensão\nToda eu sou uma grande confusão\n\nO peito a arder\nA boca seca eu sei lá\nO que te fazer\nAmor pra mim assim não dá\nPorque parece que nem sou mais eu\n\nAi Coração\nAi Coração\nAi Coração\nDiz-me lá se és meu\n\nO peito a arder\nA boca seca eu sei lá\nO que te fazer\nAmor pra mim assim não dá\nPorque parece que nem sou mais eu\n\nAi Coração\nAi Coração\nAi Coração\nAi Corаção\nDiz-me lá se éѕ meu","https://youtube.com/watch?v=-uY37gGPkNU"
"4",7,2023,"1","7",25,"Croatia","Let 3","Mama ŠC!","Croatian","Pop","Male",1,112,11,20,2,13,"Mama ŠČ!\n\nMama kupila traktora\nŠČ\nMama kupila traktora\nŠČ\nMama kupila traktora\nTrajna-nina\nArmagedonona\nŠČ\n\nMama kupila traktora\nŠČ\nMama kupila traktora\nŠČ\nMama kupila traktora\nTrajna-nina\nArmagedonona\n\nTRAKTORA\n\nMama ljubila morona\nŠČ\nMama ljubila morona\nŠČ\nMama ljubila morona\nTrajna-nina\nArmagedonona\n\nA B C Č Ć D DŽ Đ E F G H I J K L LJ M N NJ E F G H I J K L LJ M N NJ O P R S Š T U V Z Ž…\n\nMama, mama, mama, ja se idem igrat'\nMama, idem u rat\n\nOnaj mali psihopat (Rat, rat)\nMali, podli psihopat (Rat, rat)\nKrokodilski psihopat (Rat, rat)\nMama, idem u rat\n\nTRAKTORA\n\nMama ljubila morona\nŠČ\nMama ljubila morona\nŠČ\nMama ljubila morona\nTrajna-nina\nArmagedonona\n\nOnaj mali psihopat (Mama, idemo u rat)\nMali, podli psihopat (Rat, rat)\nKrokodilski psihopat (Mama, idemo u rat)\nMama, idem u rat\n\nOnaj mali psihopat (Mama, idemo u rat)\nMali, podli psihopat (Rat, rat)\nKrokodilski psihopat (Mama, idemo u rat)\nMama, idem u rat\n\nMama, mama, mama…\n\nOnaj mali psihopat (Mama, idemo u rat)\nMali, podli psihopat (Rat, rat)\nKrokodilski pѕihopat (Mama, idemo u rat)\nMama, idem u rаt\n\nŠČ","https://youtube.com/watch?v=AyKj8jA0Qoc"
"5",8,2023,"1","8",3,"Switzerland","Remo Forrer","Watergun","English","Ballad","Male",1,31,61,10,15,20,"Watergun\n\nWhen we were boys\nWe played pretend\nArmy tanks\nAnd army men\nHide and seek\nGrow to be the kings we dream\n\nWhere did we go?\nWe're standin' on the frontline\nWhere did we go?\nWe go?\n\nI don't wanna be a soldier, soldier\nI don't wanna have to play with real blood\nWe ain't playin' now\nCan't turn and run\nNo water guns\nNo no\n\nI don't wanna be a soldier, soldier\nI don't wanna have to play with real blood\n'Cause we ain't playin' now\nCan't turn and run\nNo water guns\nJust body bags that we've become\n\nAdolescence, breaking rules\nNothin hurts when you're bulletproof\nI remember, yes, I do, I do\n\nWhere did we go?\nWe're standin' on the frontline\nWhere did we go?\nWe go?\n\nI don't wanna be a soldier, soldier\nI don't wanna have to play with real blood\nWe ain't playin' now\nCan't turn and run\nNo water guns\nNo no\n\nI don't wanna be a soldier, soldier\nI don't wanna have to play with real blood\n'Cause we ain't playin' now\nCan't turn and run\nNo water guns\nJust body bags that we've become\n\nWhat we've become\nWhat we've become\nWhat we've become\n\nPlayin' with water guns\nNot playin' with wаter gunѕ","https://youtube.com/watch?v=_8-Sbc_GZMc"
"6",9,2023,"1","9",23,"Israel","Noa Kirel","Unicorn","English","Pop","Female",1,185,177,30,25,3,"Unicorn\n\nHey, you don't like the way I'm talking\nHey, so you stand there keep on call me names\nNo, I'm not your enemy so\nIf you're gonna do it, don't do it\n\nHey, do you wanna check my DNA?\nOlder stories, time to go away\nAnd believe in fairytales oh\nIf you're gonna do it…\n\nI'm gonna stand here like a unicorn\nOut here on my own\nI got the power of a unicorn\nDon't you ever learn?\nThat I won't look back\nI won't look down\nI'm going up\nYou better turn around\nThe power of a unicorn\nThe power of a unicorn\n\nHistory caught in a loop\nDon't you wanna change it?\nYou know that we can, you and me\nCan write a new book\nDon't you wanna change it now?\n\nIt's gonna be\nPhenomen-phenomen-phenomenal\nPhenomen-phenomenal\nFeminine-feminine-femininal\n\nI'm gonna stand here like a unicorn\nOut here on my own\nI got the power of a unicorn\nDon't you ever learn?\nThat I won't look back\nI won't look down\nI'm going up\nYou better turn around\nThe power of a unicorn\nThe power of a unicorn\n\nIt's gonna be\nPhenomen-phenomen-phenomenal\nPhenomen-phenomenal\n\nאנ׳לא כמו כולם\nAn'lo kmo kulam\nמול כול העולם\nMul kol ha'olam\n\nIt's gonna be\nPhenomen-phenomen-phenomenal\nPhenomen-phenomenal\n\nYou can call me queen\nאין לי דאווין\nEin li da'awin\n\nYou wanna see me dance?\nYou wanna see me dance?\nYou wanna see me dance?\nWatch me\n\nIt's gonna be\nU-ni-corn\nU-ni-corn\nU-ni-corn\nU-ni-corn\nI'm standing like a…","https://youtube.com/watch?v=r4wbdKmM3bQ"
"7",10,2023,"1","10",18,"Moldova","Pasha Parfeni","Soarele si luna","Romanian","Traditional","Male",1,76,20,17,4,18,"Soarele și Luna\n\nCodrule cu frunză deasă\nCred că mi-am găsit mireasă\n(Așa, așa, așa…)\nNistrule cu apă lină\nM-am pierdut și ea-i de vină\n(Așa, așa, așa…)\nI-am cântat eu doine multe\nPân-a vrut să mă sărute ea\n(Așa, așa, așa…)\nPăi, am cântat-o, am dansat-o\nÎn tot felul răsfățat-o\n(Așa, așa, așa…)\n\nSoarele, Soarele\nSoarele și Luna\nNe-or ține, ne-or ține\nNe-or ține cununa\nSoarele, Soarele\nSoarele și Luna\nNe-or ține, ne-or ține\nNe-or ține cununa\n\nSoarele, Soarele\nSoarele și Luna\nNe-or ține, ne-or ține\nNe-or ține cununa\nSoarele, Soarele\nSoarele și Luna\nNe-or ține, ne-or ține\nNe-or ține cununa\n\nI-am promis miresei mele\nNuntă sub un cer cu stele\n(Așa, așa, așa…)\nI-am dat în a șaptea seară\nUn inel cu piatră rară\n(Așa, așa, așa…)\n\nSoarele și Luna\n(Soarele și Luna)\nNe-or ține cununa\n(Ne-or ține cununa)\nSoarele, Soarele\nSoarele și Luna\nNe-or ține, ne-or ține\nNe-or ține cununa\n\nI-am promis miresei mele\nNuntă sub un cer cu stele\nI-am dat în a șaptea seară\nI-am dat în a șaptea ѕeară\nUn inel cu piatră rară\n\nSoarele și Luna\n(Soarele și Luna)\nNe-or ține cununa\n(Ne-or ține cununa)\nSoarele, Soarele\nSoarele și Luna\nNe-or ține, ne-or ține\n(Ne-or ține cununa)\n\nSoarele, Soarele\nSoarele și Luna\nNe-or ține, ne-or ține\nNe-or ține cununa\nSoarele, Soarele\nSoarele și Luna\nNe-or ține, ne-or ține\nNe-or ține cununа","https://youtube.com/watch?v=jatc6dNgpjs"
"8",11,2023,"1","11",9,"Sweden","Loreen","Tattoo","English","Pop","Female",1,243,340,36,36,1,"Tattoo\n\nI don't wanna go\nBut baby we both know\nThis is not our time\nIt's time to say goodbye\n\nUntil we meet again\n'Cause this is not the end\nIt will come a day\nWhen we will find our way\n\nViolins playing and the angels crying\nWhen the stars align then I'll be there\n\nNo I don't care about them all\n'Cause all I want is to be loved\nAnd all I care about is you\nYou stuck on me like a tattoo\n\nNo I don't care about the pain\nI'll walk through fire and through rain\nJust to get closer to you\nYou stuck on me like a tattoo\n\nI'm letting my hair down\nI'm taking it cool\nYou got my heart in your hand\nDon't lose it my friend\nIt's all that I got\n\nViolins playing and the angels crying\nWhen the stars align then I'll be there\n\nNo I don't care about them all\n'Cause all I want is to be loved\nAnd all I care about is you\nYou stuck on me like a tattoo\n\nNo I don't care about the pain\nI'll walk through fire and through rain\nJust to get closer to you\nYou stuck on me like a tattoo\n\nOh I don't care about them all\n'Cause all I want is to be loved\nAnd all I care about is you\nYou stuck on me like a tattoo\n\nI don't care about the pain\nI'll walk through fire and through rain\nJust to get closer to you\nYou stuck on me like a tattoo\n\nAll I care about is love\nOh oh oh\nAll I care about is love\n\nYou ѕtuck on me like a tаttoo","https://youtube.com/watch?v=Vul5zgC5Yvg"
"9",13,2023,"1","13",14,"Czech Republic","Vesna","My Sister's Crown","English, Ukrainian, Czech, Bulgarian","Pop","Female",6,35,94,12,18,10,"My Sister's Crown\n\nMoje sestra do kouta nepůjde\nAni tebe poslouchat nebude\nMoje sestra v srdci je divoká\nCopy zaplést, nikdy si nenechá\nMoje sestra do kouta nepůjde\nAni tebe poslouchat nebude\n\nMy sister's crown\nDon't take it down\nDon't take it down\n\nNobody has right to do it\nShe's beautiful\nAnd capable\nShe is her own queen\nAnd she will prove it\n\nYou can take your hands back\nNo one wants more boys dead\nWe're not your dolls\nWe're not your dolls\n\nLife's not a moneybag\nBlood's on your God's head\nYou can't steal our souls\nYou can't steal our souls\n\nSestro krasyva\nOy ty syl'na\nKhorobra yedyna\nKorona tvoya\n\nSestro krasyva\nOy ty syl'na\nKhorobra yedyna\nKorona tvoya\n\nMy sister's crown\nDon't take it down\n\nDaĭ rŭka ne se strakhuvaĭ\nS drugite sestri popluvaĭ\nV moreto ni nyamame myasto za tezi omrazi\nPazi, pazi\nNe tŭguvaĭ\nKhop trop momite ne sa non-stop na razpolozhenie\nTi prosto che sme sestri do kraĭ znaĭ\n\nYou can take your hands back\nNo one wants more boys dead\nWe're not your dolls\nWe're not your dolls\n\nLife's not a moneybag\nBlood's on your God's head\nYou can't steal our souls\nYou can't steal our souls\n\nSestro krasyva\nOy ty syl'na\nKhorobra yedyna\nKorona tvoya\nSestro krasyva\nOy ty syl'na\nKhorobra yedyna\nKorona tvoya\n\nMy sister's crown\nDon't take it down\nMy sister's crown\nDon't take it down\n\nAll the sisters of the world\nCome together with a prayer\nChoose love over power\n\nSestro krasyva\nOy ty syl'na\nKhorobra yedyna\nKorona tvoya\nSestro krasyva\nOy ty syl'na\nKhorobra yedyna\nKorona tvoya\n\nSestro krasyva\nOy ty syl'na\nKhorobra yedyna\nKorona tvoya\nSestro krasyva\nOy ty syl'na\nKhorobra yedyna\nKorona tvoya\n\nSestro krasyva\nOy ty syl'na\nKhorobra yedyna\nKorona tvoya\nSestro krasyva\nOy ty syl'na\nKhorobra yedyna\nKorona tvoya\n\nJsme v srdcích s tebou\nWe ѕtаnd for you","https://youtube.com/watch?v=bFm-hw2rUeA"
"10",15,2023,"1","15",13,"Finland","Käärijä","Cha Cha Cha","Finnish","Pop","Male",1,376,150,37,22,2,"Cha Cha Cha\n\nRankka viikko ja paljon pitkii päiviä takan\nMielenkiintona piña colada ja rata\nIlta on vielä nuori ja aikaa kumota\nTää jäinen ulkokuori on aika tuhota\n\nPidän kaksin käsin kiinni juomista niinku\nCha, cha, cha, cha, cha, cha, cha, ei\nEn mieti huomista ku tartun tuopista niinku\nCha, cha, cha, cha, cha, cha, cha, ei\nHaluun olla sekasin ja vapaa huolista niinku\nCha, cha, cha, cha, cha, cha, cha, ei\nJa mä jatkan kunnes en enää pysy tuolissa niinku\n\nMuutama piña colada on jo takana\nSilti mul on vielä naamataulu vakava, yeah, yeah, ye, ye, yeah\nIlta on vielä nuori ja aikaa kumota\nTää jäinen ulkokuori on aika tuhota\nParketti kutsuu mua ku en oo enää lukossa\nNiinku cha cha cha mä oon tulossa\n\nPidän kaksin käsin kiinni juomista niinku\nCha, cha, cha, cha, cha, cha, cha, ei\nEn mieti huomista ku tartun tuopista niinku\nCha, cha, cha, cha, cha, cha, cha, ei\nHaluun olla sekasin ja vapaa huolista niinku\nCha, cha, cha, cha, cha, cha, cha, ei\nJa mä jatkan kunnes en enää pysy tuolissa niinku vou\n\nNyt lähden tanssimaan\nNiinku cha cha cha\nEnkä pelkääkään tätä maailmaa\nNiinku cha cha cha\nKun mä kaadan päälleni samppanjaa\n\nCha, cha, cha\nToinen silmä jo karsastaa\nJa puhe sammaltaa ku tää toinen puoli must vallan saa\nCha, cha, cha\nEn oo arkena tää mies laisinkaan\nEn oo mut tänään oon se mies, tänään oon se mies\n\nNyt lähden tanssimaan\nNiinku cha cha cha\nEnkä pelkääkään tätä maailmaa\nNiinku cha cha cha\nKun mä kaadan päälleni ѕamppanjaa\n\nNiinku cha cha cha\nCha, cha, cha, cha, cha, cha, cha, aha\nNiinku cha cha cha\nCha, cha, cha, cha, cha, cha, cha\nCha, cha, cha, cha, cha, cha, chа","https://youtube.com/watch?v=rNrgQm5z07U"
