"","year","semi_final","semi_draw_position","final_draw_position","country","artist_name","song_name","language","style","gender","main_singers","final_televote_points","final_jury_points","final_televote_votes","final_jury_votes","final_place"
"1",2023,"1","1","20","Norway","Alessandra","Queen of Kings","English","Pop","Female",1,216,52,36,11,5
"2",2023,"1","2","-","Malta","The Busker","Dance (Our Own Party)","English","Pop","Male",1,NA,NA,NA,NA,NA
"3",2023,"1","3","5","Serbia","Luke Black","Samo mi se spava","Serbian, English","Pop","Male",1,16,14,4,6,24
"4",2023,"1","4","-","Latvia","Sudden Lights","Aija","English","Rock","Male",1,NA,NA,NA,NA,NA
"5",2023,"1","5","2","Portugal","Mimicat","Ai coração","Portuguese","Pop","Female",1,16,43,3,9,23
"6",2023,"1","6","-","Ireland","Wild Youth","We Are One","English","Rock","Male",1,NA,NA,NA,NA,NA
"7",2023,"1","7","25","Croatia","Let 3","Mama ŠC!","Croatian","Pop","Male",1,112,11,20,2,13
"8",2023,"1","8","3","Switzerland","Remo Forrer","Watergun","English","Ballad","Male",1,31,61,10,15,20
"9",2023,"1","9","23","Israel","Noa Kirel","Unicorn","English","Pop","Female",1,185,177,30,25,3
"10",2023,"1","10","18","Moldova","Pasha Parfeni","Soarele si luna","Romanian","Traditional","Male",1,76,20,17,4,18
"11",2023,"1","11","9","Sweden","Loreen","Tattoo","English","Pop","Female",1,243,340,36,36,1
"12",2023,"1","12","-","Azerbaijan","TuralTuranX","Tell Me More","English","Pop","Male",2,NA,NA,NA,NA,NA
"13",2023,"1","13","14","Czech Republic","Vesna","My Sister's Crown","English, Ukrainian, Czech, Bulgarian","Pop","Female",6,35,94,12,18,10
"14",2023,"1","14","-","Netherlands","Mia Nicolai and Dion Cooper","Burning Daylight","English","Ballad","Mix",2,NA,NA,NA,NA,NA
"15",2023,"1","15","13","Finland","Käärijä","Cha Cha Cha","Finnish","Pop","Male",1,376,150,37,22,2
"16",2023,"2","1","-","Denmark","Reiley","Breaking My Heart","English","Pop","Male",1,NA,NA,NA,NA,NA
"17",2023,"2","2","17","Armenia","Brunette","Future Lover","English, Armenian","Ballad","Female",1,53,69,10,15,14
