X,year,semi_final,semi_draw_position,final_draw_position,country,artist_name,song_name,language,style,gender,main_singers,final_televote_points,final_jury_points,final_televote_votes,final_jury_votes,final_place
1,2023,1,1,20,Norway,Alessandra,Queen of Kings,English,Pop,Female,1,216,52,36,11,5
3,2023,1,3,5,Serbia,Luke Black,Samo mi se spava,"Serbian, English",Pop,Male,1,16,14,4,6,24
5,2023,1,5,2,Portugal,Mimicat,Ai coração,Portuguese,Pop,Female,1,16,43,3,9,23
7,2023,1,7,25,Croatia,Let 3,Mama ŠC!,Croatian,Pop,Male,1,112,11,20,2,13
8,2023,1,8,3,Switzerland,Remo Forrer,Watergun,English,Ballad,Male,1,31,61,10,15,20
9,2023,1,9,23,Israel,Noa Kirel,Unicorn,English,Pop,Female,1,185,177,30,25,3
10,2023,1,10,18,Moldova,Pasha Parfeni,Soarele si luna,Romanian,Traditional,Male,1,76,20,17,4,18
11,2023,1,11,9,Sweden,Loreen,Tattoo,English,Pop,Female,1,243,340,36,36,1
13,2023,1,13,14,Czech Republic,Vesna,My Sister's Crown,"English, Ukrainian, Czech, Bulgarian",Pop,Female,6,35,94,12,18,10
15,2023,1,15,13,Finland,Käärijä,Cha Cha Cha,Finnish,Pop,Male,1,376,150,37,22,2
17,2023,2,2,17,Armenia,Brunette,Future Lover,"English, Armenian",Ballad,Female,1,53,69,10,15,14
19,2023,2,4,12,Estonia,Alika,Bridges,English,Ballad,Female,1,22,146,4,22,8
20,2023,2,5,16,Belgium,Gustaph,Because of You,English,Pop,Male,1,55,127,13,22,7
21,2023,2,6,7,Cyprus,Andrew Lambrou,Break a Broken Heart,English,Ballad,Male,1,58,68,11,17,12
24,2023,2,9,4,Poland,Blanka,Solo,English,Pop,Female,1,81,12,17,5,19
25,2023,2,10,24,Slovenia,Joker Out,Carpe Diem,Slovene,Rock,Male,1,45,33,11,6,21
28,2023,2,13,1,Austria,Teya and Salena,Who the Hell Is Edgar?,English,Pop,Female,2,16,104,4,18,15
29,2023,2,14,10,Albania,Albina and Familja Kelmendi,Duje,Albanian,Traditional,Female,1,59,17,10,4,22
30,2023,2,15,22,Lithuania,Monika Linkyte,Stay,English,Ballad,Female,1,46,81,8,15,11
31,2023,2,16,15,Australia,Voyager,Promise,English,Rock,Male,1,21,130,6,23,9
32,2023,-,-,6,France,La Zarra,Évidemment,French,Ballad,Female,1,50,54,17,10,16
33,2023,-,-,8,Spain,Blanca Paloma,Eaea,Spanish,Traditional,Female,1,5,95,2,21,17
34,2023,-,-,11,Italy,Marco Mengoni,Due vite,Italian,Ballad,Male,1,174,176,29,27,4
35,2023,-,-,19,Ukraine,Tvorchi,Heart of Steel,"English, Ukrainian",Pop,Male,1,189,54,28,10,6
36,2023,-,-,21,Germany,Lord of the Lost,Blood & Glitter,English,Rock,Male,1,15,3,3,2,26
37,2023,-,-,26,United Kingdom,Mae Muller,I Wrote a Song,English,Pop,Female,1,9,15,2,5,25
40,2022,1,3,14,Lithuania,Monika Liu,Sentimentai,Lithuanian,Ballad,Female,1,93,35,21,10,14
41,2022,1,4,5,Switzerland,Marius Bear,Boys Do Cry,English,Ballad,Male,1,0,78,0,21,17
43,2022,1,6,12,Ukraine,Kalush Orchestra,Stefania,Ukrainian,Traditional,Male,1,439,192,39,26,1
45,2022,1,8,11,Netherlands,S10,De diepte,Dutch,Ballad,Female,1,42,129,12,25,11
46,2022,1,9,19,Moldova,Zdob si Zdub and Advahov Brothers,Trenuletul,"Romanian, English",Traditional,Male,1,239,14,35,4,7
47,2022,1,10,3,Portugal,Maro,"Saudade, saudade","English, Portuguese",Ballad,Female,6,36,171,9,29,9
51,2022,1,14,18,Iceland,Systur,Meo aekkandi sol,Icelandic,Traditional,Female,3,10,10,2,4,23
52,2022,1,15,17,Greece,Amanda Georgiadi Tenfjord,Die Together,English,Ballad,Female,1,57,158,9,26,8
53,2022,1,16,7,Norway,Subwoolfer,Give That Wolf a Banana,English,Pop,Male,2,146,36,32,10,10
54,2022,1,17,8,Armenia,Rosa Linn,Snap,English,Ballad,Female,1,21,40,4,10,20
55,2022,2,1,4,Finland,The Rasmus,Jezebel,English,Rock,Male,1,26,12,8,3,21
57,2022,2,3,24,Serbia,Konstrakta,In corpore sano,"Serbian, Latin",Traditional,Female,1,225,87,34,15,5
58,2022,2,4,15,Azerbaijan,Nadir Rustamli,Fade to Black,English,Ballad,Male,1,3,103,1,19,16
62,2022,2,8,21,Australia,Sheldon Riley,Not the Same,English,Ballad,Male,1,2,123,1,23,15
66,2022,2,12,25,Estonia,Stefan,Hope,English,Pop,Male,1,98,43,19,8,13
67,2022,2,13,2,Romania,WRS,Llamame,"English, Spanish",Pop,Male,1,53,12,12,3,18
68,2022,2,14,23,Poland,Ochman,River,English,Ballad,Male,1,105,46,22,9,12
70,2022,2,16,16,Belgium,Jeremie Makiese,Miss You,English,Pop,Male,1,5,59,2,13,19
71,2022,2,17,20,Sweden,Cornelia Jakobs,Hold Me Closer,English,Ballad,Female,1,180,258,33,33,4
72,2022,2,18,1,Czech Republic,We Are Domi,Lights Off,English,Dance,Female,1,5,33,1,11,22
73,2022,-,-,9,Italy,Mahmood and Blanco,Brividi,Italian,Ballad,Male,2,110,158,23,26,6
74,2022,-,-,10,Spain,Chanel,SloMo,"Spanish, English",Pop,Female,1,228,231,38,34,3
75,2022,-,-,13,Germany,Malik Harris,Rockstars,English,Ballad,Male,1,6,0,3,0,25
76,2022,-,-,22,United Kingdom,Sam Ryder,Space Man,English,Pop,Male,1,183,283,34,35,2
77,2022,-,-,6,France,Alvan and Ahez,Fulenn,Breton,Traditional,Mix,4,8,9,6,3,24
78,2021,1,1,18,Lithuania,The Roop,Discoteque,English,Dance,Male,1,165,55,27,12,8
80,2021,1,3,5,Russia,Manizha,Russian Woman,"Russian, English",Traditional,Female,1,100,104,22,21,9
81,2021,1,4,25,Sweden,Tusse,Voices,English,Pop,Male,1,63,46,18,10,14
85,2021,1,8,1,Cyprus,Elena Tsagrinou,El Diablo,English,Pop,Female,1,44,50,7,11,16
86,2021,1,9,22,Norway,Tix,Fallen Angel,English,Pop,Male,1,60,15,16,5,18
88,2021,1,11,4,Belgium,Hooverphonic,The Wrong Place,English,Ballad,Female,1,3,71,2,17,19
89,2021,1,12,3,Israel,Eden Alene,Set Me Free,English,Pop,Female,1,20,73,4,17,17
91,2021,1,14,21,Azerbaijan,Efendi,Mata Hari,English,Pop,Female,1,33,32,12,9,20
92,2021,1,15,19,Ukraine,Go_A,Shum,Ukrainian,Traditional,Female,1,267,97,38,19,5
93,2021,1,16,6,Malta,Destiny,Je me casse,English,Pop,Female,1,47,208,15,35,7
97,2021,2,4,10,Greece,Stefania,Last Dance,English,Pop,Female,1,79,91,11,15,10
100,2021,2,7,14,Moldova,Natalia Gordienko,Sugar,English,Pop,Female,1,62,53,11,6,13
102,2021,2,9,8,Serbia,Hurricane,Loco Loco,Serbian,Pop,Female,3,82,20,12,3,15
104,2021,2,11,2,Albania,Anxhela Peristeri,Karma,Albanian,Ballad,Female,1,35,22,5,4,21
105,2021,2,12,7,Portugal,The Black Mamba,Love Is on My Side,English,Traditional,Male,1,27,126,6,22,12
106,2021,2,13,17,Bulgaria,Victoria,Growing Up Is Getting Old,English,Ballad,Female,1,30,140,5,26,11
107,2021,2,14,16,Finland,Blind Channel,Dark Side,English,Rock,Male,2,218,83,37,19,6
109,2021,2,16,11,Switzerland,Gjon's Tears,Tout l'univers,French,Ballad,Male,1,165,267,34,34,3
111,2021,-,-,23,Netherlands,Jeangu Macrooy,Birth of a New Age,"English, Sranan Tongo",Ballad,Male,1,0,11,0,5,11
112,2021,-,-,13,Spain,Blas Canto,Voy a quedarme,Spanish,Ballad,Male,1,0,6,0,2,24
113,2021,-,-,9,United Kingdom,James Newman,Embers,English,Pop,Male,1,0,0,0,0,26
114,2021,-,-,15,Germany,Jendrik,I Don't Feel Hate,English,Pop,Male,1,0,3,0,2,25
115,2021,-,-,20,France,Barbara Pravi,Voila,French,Ballad,Female,1,251,248,38,33,2
116,2021,-,-,24,Italy,Maneskin,Zitti e buoni,Italian,Rock,Male,1,318,206,38,28,1
117,2019,1,1,11,Cyprus,Tamta,Replay,English,Dance,Female,1,32,77,4,15,13
121,2019,1,5,10,Slovenia,Zala Kralj & Gasper santl,Sebi,Slovene,Ballad,Mix,2,59,46,13,9,15
122,2019,1,6,3,Czech Republic,Lake Malawi,Friend of a Friend,English,Pop,Male,1,7,150,4,26,11
124,2019,1,8,19,Belarus,ZENA,Like It,English,Dance,Female,1,13,18,2,5,24
125,2019,1,9,23,Serbia,Nevena Bozovic,Kruna,Serbian,Ballad,Female,1,54,35,7,8,18
128,2019,1,12,25,Australia,Kate Miller-Heidke,Zero Gravity,English,Opera,Female,1,131,153,30,24,9
129,2019,1,13,17,Iceland,Hatari,Hatrio mun sigra,Icelandic,Dance,Mix,2,186,46,34,9,10
130,2019,1,14,18,Estonia,Victor Crone,Storm,English,Pop,Male,1,48,28,10,7,20
